DT,Home,Away,Home_points,Away_points,season,country,league
2023-04-28 17:00:00,Trinec,Mountfield HK,4.0,1.0,2022-2023,czech-republic,extraliga
2023-04-26 17:00:00,Mountfield HK,Trinec,3.0,0.0,2022-2023,czech-republic,extraliga
2023-04-23 17:00:00,Trinec,Mountfield HK,1.0,2.0,2022-2023,czech-republic,extraliga
2023-04-22 17:00:00,Trinec,Mountfield HK,1.0,0.0,2022-2023,czech-republic,extraliga
2023-04-21 17:30:00,Zlin,Kladno,0.0,1.0,2022-2023,czech-republic,extraliga
2023-04-20 17:30:00,Zlin,Kladno,1.0,7.0,2022-2023,czech-republic,extraliga
2023-04-19 17:00:00,Mountfield HK,Trinec,1.0,2.0,2022-2023,czech-republic,extraliga
2023-04-18 17:00:00,Mountfield HK,Trinec,2.0,4.0,2022-2023,czech-republic,extraliga
2023-04-17 18:00:00,Kladno,Zlin,3.0,1.0,2022-2023,czech-republic,extraliga
2023-04-16 16:00:00,Kladno,Zlin,1.0,0.0,2022-2023,czech-republic,extraliga
2023-04-15 15:30:00,Vitkovice,Mountfield HK,1.0,2.0,2022-2023,czech-republic,extraliga
2023-04-14 17:00:00,Pardubice,Trinec,1.0,2.0,2022-2023,czech-republic,extraliga
2023-04-13 17:00:00,Mountfield HK,Vitkovice,1.0,2.0,2022-2023,czech-republic,extraliga
2023-04-12 17:00:00,Trinec,Pardubice,3.0,5.0,2022-2023,czech-republic,extraliga
2023-04-11 17:30:00,Vitkovice,Mountfield HK,3.0,2.0,2022-2023,czech-republic,extraliga
2023-04-10 17:00:00,Pardubice,Trinec,2.0,4.0,2022-2023,czech-republic,extraliga
2023-04-09 16:00:00,Mountfield HK,Vitkovice,0.0,5.0,2022-2023,czech-republic,extraliga
2023-04-08 17:00:00,Mountfield HK,Vitkovice,4.0,2.0,2022-2023,czech-republic,extraliga
2023-04-07 17:00:00,Trinec,Pardubice,0.0,2.0,2022-2023,czech-republic,extraliga
2023-04-06 17:00:00,Trinec,Pardubice,2.0,1.0,2022-2023,czech-republic,extraliga
2023-04-05 17:30:00,Vitkovice,Mountfield HK,2.0,3.0,2022-2023,czech-republic,extraliga
2023-04-04 17:30:00,Vitkovice,Mountfield HK,0.0,1.0,2022-2023,czech-republic,extraliga
2023-04-03 18:00:00,Pardubice,Trinec,0.0,3.0,2022-2023,czech-republic,extraliga
2023-04-02 17:00:00,Pardubice,Trinec,4.0,2.0,2022-2023,czech-republic,extraliga
2023-03-28 17:00:00,Trinec,Sparta Prague,5.0,1.0,2022-2023,czech-republic,extraliga
2023-03-27 17:00:00,Kometa Brno,Vitkovice,3.0,4.0,2022-2023,czech-republic,extraliga
2023-03-26 18:00:00,Mountfield HK,Liberec,6.0,4.0,2022-2023,czech-republic,extraliga
2023-03-26 16:30:00,Sparta Prague,Trinec,0.0,3.0,2022-2023,czech-republic,extraliga
2023-03-25 17:00:00,Vitkovice,Kometa Brno,1.0,0.0,2022-2023,czech-republic,extraliga
2023-03-24 19:00:00,Trinec,Sparta Prague,3.0,1.0,2022-2023,czech-republic,extraliga
2023-03-24 17:00:00,Liberec,Mountfield HK,1.0,2.0,2022-2023,czech-republic,extraliga
2023-03-23 19:00:00,Liberec,Mountfield HK,1.0,2.0,2022-2023,czech-republic,extraliga
2023-03-23 17:00:00,Trinec,Sparta Prague,2.0,4.0,2022-2023,czech-republic,extraliga
2023-03-22 19:00:00,Kometa Brno,Vitkovice,2.0,1.0,2022-2023,czech-republic,extraliga
2023-03-22 17:00:00,Olomouc,Pardubice,2.0,3.0,2022-2023,czech-republic,extraliga
2023-03-21 19:00:00,Olomouc,Pardubice,4.0,5.0,2022-2023,czech-republic,extraliga
2023-03-21 17:00:00,Kometa Brno,Vitkovice,1.0,4.0,2022-2023,czech-republic,extraliga
2023-03-20 19:00:00,Sparta Prague,Trinec,2.0,3.0,2022-2023,czech-republic,extraliga
2023-03-20 17:00:00,Mountfield HK,Liberec,3.0,2.0,2022-2023,czech-republic,extraliga
2023-03-19 16:40:00,Mountfield HK,Liberec,2.0,4.0,2022-2023,czech-republic,extraliga
2023-03-19 14:00:00,Sparta Prague,Trinec,3.0,2.0,2022-2023,czech-republic,extraliga
2023-03-18 19:00:00,Vitkovice,Kometa Brno,0.0,3.0,2022-2023,czech-republic,extraliga
2023-03-18 17:00:00,Pardubice,Olomouc,2.0,0.0,2022-2023,czech-republic,extraliga
2023-03-17 19:00:00,Pardubice,Olomouc,5.0,1.0,2022-2023,czech-republic,extraliga
2023-03-17 17:00:00,Vitkovice,Kometa Brno,3.0,2.0,2022-2023,czech-republic,extraliga
2023-03-14 19:00:00,Liberec,Plzen,4.0,3.0,2022-2023,czech-republic,extraliga
2023-03-14 17:00:00,Olomouc,Karlovy Vary,3.0,0.0,2022-2023,czech-republic,extraliga
2023-03-12 18:00:00,Mlada Boleslav,Kometa Brno,1.0,5.0,2022-2023,czech-republic,extraliga
2023-03-12 17:00:00,Plzen,Liberec,2.0,1.0,2022-2023,czech-republic,extraliga
2023-03-12 15:30:00,Karlovy Vary,Olomouc,2.0,3.0,2022-2023,czech-republic,extraliga
2023-03-11 17:45:00,Litvinov,Trinec,2.0,4.0,2022-2023,czech-republic,extraliga
2023-03-11 17:00:00,Mlada Boleslav,Kometa Brno,2.0,1.0,2022-2023,czech-republic,extraliga
2023-03-11 16:30:00,Plzen,Liberec,1.0,3.0,2022-2023,czech-republic,extraliga
2023-03-11 15:30:00,Karlovy Vary,Olomouc,7.0,4.0,2022-2023,czech-republic,extraliga
2023-03-09 19:00:00,Liberec,Plzen,0.0,6.0,2022-2023,czech-republic,extraliga
2023-03-09 18:00:00,Kometa Brno,Mlada Boleslav,2.0,1.0,2022-2023,czech-republic,extraliga
2023-03-09 18:00:00,Olomouc,Karlovy Vary,4.0,1.0,2022-2023,czech-republic,extraliga
2023-03-09 17:00:00,Trinec,Litvinov,5.0,4.0,2022-2023,czech-republic,extraliga
2023-03-08 19:00:00,Kometa Brno,Mlada Boleslav,4.0,2.0,2022-2023,czech-republic,extraliga
