DT,Home,Away,Home_points,Away_points,season,country,league
2023-06-13 02:30:00,Denver Nuggets,Miami Heat,94.0,89.0,2022-2023,usa,nba
2023-06-10 02:30:00,Miami Heat,Denver Nuggets,95.0,108.0,2022-2023,usa,nba
2023-06-08 02:30:00,Miami Heat,Denver Nuggets,94.0,109.0,2022-2023,usa,nba
2023-06-05 02:00:00,Denver Nuggets,Miami Heat,108.0,111.0,2022-2023,usa,nba
2023-06-02 02:30:00,Denver Nuggets,Miami Heat,104.0,93.0,2022-2023,usa,nba
2023-05-30 02:30:00,Boston Celtics,Miami Heat,84.0,103.0,2022-2023,usa,nba
2023-05-28 02:30:00,Miami Heat,Boston Celtics,103.0,104.0,2022-2023,usa,nba
2023-05-26 02:30:00,Boston Celtics,Miami Heat,110.0,97.0,2022-2023,usa,nba
2023-05-24 02:30:00,Miami Heat,Boston Celtics,99.0,116.0,2022-2023,usa,nba
2023-05-23 02:30:00,Los Angeles Lakers,Denver Nuggets,111.0,113.0,2022-2023,usa,nba
2023-05-22 02:30:00,Miami Heat,Boston Celtics,128.0,102.0,2022-2023,usa,nba
2023-05-21 02:30:00,Los Angeles Lakers,Denver Nuggets,108.0,119.0,2022-2023,usa,nba
2023-05-20 02:30:00,Boston Celtics,Miami Heat,105.0,111.0,2022-2023,usa,nba
2023-05-19 02:30:00,Denver Nuggets,Los Angeles Lakers,108.0,103.0,2022-2023,usa,nba
2023-05-18 02:30:00,Boston Celtics,Miami Heat,116.0,123.0,2022-2023,usa,nba
2023-05-17 02:30:00,Denver Nuggets,Los Angeles Lakers,132.0,126.0,2022-2023,usa,nba
2023-05-14 21:30:00,Boston Celtics,Philadelphia 76ers,112.0,88.0,2022-2023,usa,nba
2023-05-13 04:00:00,Los Angeles Lakers,Golden State Warriors,122.0,101.0,2022-2023,usa,nba
2023-05-13 01:30:00,Miami Heat,New York Knicks,96.0,92.0,2022-2023,usa,nba
2023-05-12 04:00:00,Phoenix Suns,Denver Nuggets,100.0,125.0,2022-2023,usa,nba
2023-05-12 01:30:00,Philadelphia 76ers,Boston Celtics,86.0,95.0,2022-2023,usa,nba
