DT,Home,Away,Home_points,Away_points,season,country,league
2023-05-16 20:30:00,Rzeszow,Zawiercie,3.0,0.0,2022-2023,poland,plusliga
2023-05-13 14:45:00,Zawiercie,Rzeszow,3.0,2.0,2022-2023,poland,plusliga
2023-05-10 20:30:00,Jastrzebski,Kedzierzyn-Kozle,3.0,0.0,2022-2023,poland,plusliga
2023-05-09 20:30:00,Rzeszow,Zawiercie,3.0,0.0,2022-2023,poland,plusliga
2023-05-06 17:30:00,Zawiercie,Rzeszow,1.0,3.0,2022-2023,poland,plusliga
2023-05-06 14:45:00,Kedzierzyn-Kozle,Jastrzebski,1.0,3.0,2022-2023,poland,plusliga
2023-05-03 20:30:00,Jastrzebski,Kedzierzyn-Kozle,3.0,0.0,2022-2023,poland,plusliga
2023-05-02 20:30:00,Rzeszow,Zawiercie,2.0,3.0,2022-2023,poland,plusliga
2023-04-28 22:15:00,Projekt Warszawa,Gdansk,15.0,10.0,2022-2023,poland,plusliga
2023-04-28 20:30:00,Projekt Warszawa,Gdansk,2.0,3.0,2022-2023,poland,plusliga
2023-04-26 20:30:00,Jastrzebski,Zawiercie,3.0,0.0,2022-2023,poland,plusliga
2023-04-26 17:30:00,Kedzierzyn-Kozle,Rzeszow,3.0,2.0,2022-2023,poland,plusliga
2023-04-24 20:30:00,Gdansk,Projekt Warszawa,1.0,3.0,2022-2023,poland,plusliga
2023-04-24 17:30:00,Olsztyn,Stal Nysa,0.0,3.0,2022-2023,poland,plusliga
2023-04-23 20:30:00,Zawiercie,Jastrzebski,2.0,3.0,2022-2023,poland,plusliga
2023-04-23 14:45:00,Rzeszow,Kedzierzyn-Kozle,1.0,3.0,2022-2023,poland,plusliga
2023-04-22 20:30:00,Zawiercie,Jastrzebski,1.0,3.0,2022-2023,poland,plusliga
2023-04-22 14:45:00,Rzeszow,Kedzierzyn-Kozle,2.0,3.0,2022-2023,poland,plusliga
2023-04-21 20:30:00,Stal Nysa,Olsztyn,3.0,1.0,2022-2023,poland,plusliga
2023-04-19 17:30:00,Zawiercie,Olsztyn,3.0,1.0,2022-2023,poland,plusliga
2023-04-18 20:30:00,Lublin,Slepsk Suwalki,0.0,3.0,2022-2023,poland,plusliga
2023-04-18 19:15:00,Belchatow,GKS Katowice,11.0,15.0,2022-2023,poland,plusliga
2023-04-18 17:30:00,Belchatow,GKS Katowice,3.0,0.0,2022-2023,poland,plusliga
2023-04-17 17:30:00,Barkom,Cuprum Gorzow,3.0,2.0,2022-2023,poland,plusliga
