DT,Home,Away,Home_points,Away_points,season,country,league
2023-04-22 15:00:00,Falun,Storvreta,4.0,5.0,2022-2023,sweden,svenska-superligan
2023-04-17 18:30:00,Storvreta,Vaxjo,4.0,3.0,2022-2023,sweden,svenska-superligan
2023-04-16 16:00:00,Falun,Pixbo Wallenstam,8.0,4.0,2022-2023,sweden,svenska-superligan
2023-04-15 18:30:00,Vaxjo,Storvreta,2.0,10.0,2022-2023,sweden,svenska-superligan
2023-04-14 19:15:00,Pixbo Wallenstam,Falun,8.0,7.0,2022-2023,sweden,svenska-superligan
2023-04-13 18:30:00,Storvreta,Vaxjo,4.0,5.0,2022-2023,sweden,svenska-superligan
2023-04-12 18:30:00,Falun,Pixbo Wallenstam,8.0,2.0,2022-2023,sweden,svenska-superligan
2023-04-11 18:30:00,Vaxjo,Storvreta,5.0,4.0,2022-2023,sweden,svenska-superligan
2023-04-10 16:00:00,Pixbo Wallenstam,Falun,2.0,1.0,2022-2023,sweden,svenska-superligan
2023-04-08 15:00:00,Storvreta,Vaxjo,6.0,3.0,2022-2023,sweden,svenska-superligan
2023-04-07 18:00:00,Falun,Pixbo Wallenstam,6.0,9.0,2022-2023,sweden,svenska-superligan
2023-04-06 18:30:00,Vaxjo,Storvreta,8.0,4.0,2022-2023,sweden,svenska-superligan
2023-04-05 19:15:00,Pixbo Wallenstam,Falun,5.0,7.0,2022-2023,sweden,svenska-superligan
2023-04-04 18:30:00,Storvreta,Vaxjo,8.0,5.0,2022-2023,sweden,svenska-superligan
2023-04-03 18:30:00,Falun,Pixbo Wallenstam,8.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-29 19:00:00,Linkoping,Storvreta,3.0,4.0,2022-2023,sweden,svenska-superligan
2023-03-28 19:15:00,Pixbo Wallenstam,Kalmarsund,5.0,2.0,2022-2023,sweden,svenska-superligan
2023-03-26 16:00:00,Storvreta,Linkoping,6.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-25 16:00:00,Kalmarsund,Pixbo Wallenstam,6.0,5.0,2022-2023,sweden,svenska-superligan
2023-03-24 19:00:00,Helsingborg,Vaxjo,8.0,12.0,2022-2023,sweden,svenska-superligan
2023-03-24 18:30:00,Linkoping,Storvreta,4.0,8.0,2022-2023,sweden,svenska-superligan
2023-03-23 19:15:00,Pixbo Wallenstam,Kalmarsund,8.0,5.0,2022-2023,sweden,svenska-superligan
2023-03-23 19:00:00,Mullsjo,Falun,3.0,11.0,2022-2023,sweden,svenska-superligan
2023-03-21 18:30:00,Storvreta,Linkoping,2.0,1.0,2022-2023,sweden,svenska-superligan
2023-03-21 18:30:00,Vaxjo,Helsingborg,10.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-20 18:30:00,Falun,Mullsjo,9.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-20 18:30:00,Kalmarsund,Pixbo Wallenstam,10.0,9.0,2022-2023,sweden,svenska-superligan
2023-03-19 17:00:00,Linkoping,Storvreta,8.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-19 15:00:00,Helsingborg,Vaxjo,4.0,9.0,2022-2023,sweden,svenska-superligan
2023-03-18 18:00:00,Pixbo Wallenstam,Kalmarsund,5.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-18 16:00:00,Mullsjo,Falun,3.0,10.0,2022-2023,sweden,svenska-superligan
2023-03-17 18:30:00,Storvreta,Linkoping,4.0,1.0,2022-2023,sweden,svenska-superligan
2023-03-17 18:30:00,Vaxjo,Helsingborg,2.0,1.0,2022-2023,sweden,svenska-superligan
2023-03-16 18:30:00,Falun,Mullsjo,7.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-16 18:30:00,Kalmarsund,Pixbo Wallenstam,0.0,4.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,AIK IBF,Linkoping,6.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Falun,Hagunda,15.0,8.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Gavle,Dalen,5.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Jonkoping,Kalmarsund,11.0,2.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Storvreta,Mullsjo,4.0,2.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Thorengruppen,Pixbo Wallenstam,8.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-11 16:00:00,Vaxjo,Helsingborg,6.0,1.0,2022-2023,sweden,svenska-superligan
2023-03-05 16:00:00,Dalen,Vaxjo,6.0,14.0,2022-2023,sweden,svenska-superligan
2023-03-04 18:00:00,Linkoping,Storvreta,7.0,4.0,2022-2023,sweden,svenska-superligan
2023-03-04 18:00:00,Pixbo Wallenstam,Falun,6.0,9.0,2022-2023,sweden,svenska-superligan
2023-03-04 15:30:00,Mullsjo,Gavle,12.0,4.0,2022-2023,sweden,svenska-superligan
2023-03-04 15:00:00,Helsingborg,Jonkoping,6.0,7.0,2022-2023,sweden,svenska-superligan
2023-03-04 15:00:00,Kalmarsund,AIK IBF,6.0,2.0,2022-2023,sweden,svenska-superligan
2023-03-04 14:00:00,Hagunda,Thorengruppen,9.0,5.0,2022-2023,sweden,svenska-superligan
2023-03-02 18:30:00,Jonkoping,Falun,6.0,9.0,2022-2023,sweden,svenska-superligan
2023-03-01 20:00:00,Vaxjo,Hagunda,11.0,2.0,2022-2023,sweden,svenska-superligan
2023-03-01 19:30:00,AIK IBF,Gavle,8.0,4.0,2022-2023,sweden,svenska-superligan
2023-03-01 19:00:00,Linkoping,Pixbo Wallenstam,2.0,3.0,2022-2023,sweden,svenska-superligan
2023-03-01 18:30:00,Kalmarsund,Storvreta,4.0,8.0,2022-2023,sweden,svenska-superligan
2023-03-01 18:30:00,Thorengruppen,Dalen,10.0,6.0,2022-2023,sweden,svenska-superligan
2023-02-28 19:00:00,Helsingborg,Mullsjo,6.0,5.0,2022-2023,sweden,svenska-superligan
2023-02-26 17:00:00,Gavle,Linkoping,7.0,18.0,2022-2023,sweden,svenska-superligan
2023-02-26 17:00:00,Storvreta,Helsingborg,3.0,5.0,2022-2023,sweden,svenska-superligan
2023-02-26 12:00:00,Hagunda,Kalmarsund,7.0,8.0,2022-2023,sweden,svenska-superligan
2023-02-25 16:00:00,Dalen,AIK IBF,5.0,6.0,2022-2023,sweden,svenska-superligan
2023-02-25 16:00:00,Falun,Thorengruppen,8.0,6.0,2022-2023,sweden,svenska-superligan
2023-02-25 15:00:00,Pixbo Wallenstam,Vaxjo,7.0,4.0,2022-2023,sweden,svenska-superligan
2023-02-24 19:00:00,Mullsjo,Jonkoping,8.0,3.0,2022-2023,sweden,svenska-superligan
2023-02-19 17:00:00,Mullsjo,AIK IBF,10.0,9.0,2022-2023,sweden,svenska-superligan
2023-02-18 18:00:00,Linkoping,Falun,2.0,4.0,2022-2023,sweden,svenska-superligan
2023-02-18 16:30:00,Vaxjo,Jonkoping,7.0,3.0,2022-2023,sweden,svenska-superligan
2023-02-18 15:00:00,Kalmarsund,Dalen,14.0,5.0,2022-2023,sweden,svenska-superligan
2023-02-18 14:00:00,Thorengruppen,Helsingborg,5.0,3.0,2022-2023,sweden,svenska-superligan
2023-02-18 13:00:00,Hagunda,Pixbo Wallenstam,2.0,13.0,2022-2023,sweden,svenska-superligan
2023-02-17 18:30:00,Storvreta,Gavle,13.0,3.0,2022-2023,sweden,svenska-superligan
2023-02-16 18:30:00,Jonkoping,Thorengruppen,5.0,8.0,2022-2023,sweden,svenska-superligan
2023-02-15 19:30:00,AIK IBF,Vaxjo,6.0,8.0,2022-2023,sweden,svenska-superligan
2023-02-15 19:30:00,Gavle,Pixbo Wallenstam,9.0,8.0,2022-2023,sweden,svenska-superligan
2023-02-15 19:00:00,Helsingborg,Hagunda,5.0,7.0,2022-2023,sweden,svenska-superligan
2023-02-15 18:30:00,Dalen,Mullsjo,2.0,3.0,2022-2023,sweden,svenska-superligan
2023-02-15 18:30:00,Falun,Storvreta,4.0,7.0,2022-2023,sweden,svenska-superligan
2023-02-15 18:30:00,Kalmarsund,Linkoping,8.0,4.0,2022-2023,sweden,svenska-superligan
2023-02-12 16:00:00,Hagunda,Jonkoping,5.0,6.0,2022-2023,sweden,svenska-superligan
2023-02-12 16:00:00,Thorengruppen,Gavle,8.0,5.0,2022-2023,sweden,svenska-superligan
2023-02-11 18:00:00,Linkoping,Dalen,7.0,5.0,2022-2023,sweden,svenska-superligan
2023-02-11 18:00:00,Storvreta,AIK IBF,11.0,1.0,2022-2023,sweden,svenska-superligan
2023-02-11 15:30:00,Mullsjo,Kalmarsund,1.0,4.0,2022-2023,sweden,svenska-superligan
2023-02-11 15:30:00,Vaxjo,Falun,7.0,6.0,2022-2023,sweden,svenska-superligan
2023-02-11 15:00:00,Pixbo Wallenstam,Helsingborg,9.0,10.0,2022-2023,sweden,svenska-superligan
2023-02-01 19:00:00,Hagunda,Gavle,5.0,3.0,2022-2023,sweden,svenska-superligan
2023-01-29 16:00:00,Jonkoping,Dalen,12.0,8.0,2022-2023,sweden,svenska-superligan
2023-01-29 16:00:00,Thorengruppen,Storvreta,4.0,6.0,2022-2023,sweden,svenska-superligan
2023-01-29 15:00:00,Helsingborg,Linkoping,3.0,5.0,2022-2023,sweden,svenska-superligan
2023-01-28 18:00:00,Falun,Kalmarsund,6.0,1.0,2022-2023,sweden,svenska-superligan
2023-01-28 15:30:00,Vaxjo,Mullsjo,6.0,8.0,2022-2023,sweden,svenska-superligan
2023-01-28 14:00:00,Pixbo Wallenstam,AIK IBF,11.0,6.0,2022-2023,sweden,svenska-superligan
2023-01-22 17:00:00,Dalen,Falun,3.0,6.0,2022-2023,sweden,svenska-superligan
2023-01-22 17:00:00,Gavle,Helsingborg,5.0,8.0,2022-2023,sweden,svenska-superligan
2023-01-22 17:00:00,Mullsjo,Thorengruppen,6.0,5.0,2022-2023,sweden,svenska-superligan
2023-01-21 18:00:00,Linkoping,Vaxjo,6.0,7.0,2022-2023,sweden,svenska-superligan
2023-01-21 15:00:00,Kalmarsund,Pixbo Wallenstam,6.0,5.0,2022-2023,sweden,svenska-superligan
2023-01-21 13:00:00,AIK IBF,Jonkoping,3.0,5.0,2022-2023,sweden,svenska-superligan
2023-01-20 18:30:00,Storvreta,Hagunda,6.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-15 17:00:00,Gavle,Kalmarsund,2.0,11.0,2022-2023,sweden,svenska-superligan
2023-01-15 17:00:00,Storvreta,Dalen,0.0,1.0,2022-2023,sweden,svenska-superligan
2023-01-15 16:00:00,Thorengruppen,Vaxjo,10.0,11.0,2022-2023,sweden,svenska-superligan
2023-01-15 14:00:00,Pixbo Wallenstam,Jonkoping,7.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-15 13:00:00,AIK IBF,Hagunda,7.0,8.0,2022-2023,sweden,svenska-superligan
2023-01-14 15:00:00,Helsingborg,Falun,6.0,7.0,2022-2023,sweden,svenska-superligan
2023-01-14 15:00:00,Linkoping,Mullsjo,5.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-08 17:00:00,Mullsjo,Pixbo Wallenstam,6.0,8.0,2022-2023,sweden,svenska-superligan
2023-01-08 16:30:00,Vaxjo,Storvreta,4.0,5.0,2022-2023,sweden,svenska-superligan
2023-01-08 16:00:00,Dalen,Hagunda,8.0,3.0,2022-2023,sweden,svenska-superligan
2023-01-08 16:00:00,Jonkoping,Linkoping,6.0,12.0,2022-2023,sweden,svenska-superligan
2023-01-07 15:00:00,Helsingborg,AIK IBF,9.0,6.0,2022-2023,sweden,svenska-superligan
2023-01-07 15:00:00,Kalmarsund,Thorengruppen,5.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-05 19:00:00,Linkoping,Thorengruppen,7.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-05 18:00:00,Dalen,Pixbo Wallenstam,8.0,10.0,2022-2023,sweden,svenska-superligan
2023-01-04 19:00:00,Gavle,Vaxjo,4.0,11.0,2022-2023,sweden,svenska-superligan
2023-01-04 19:00:00,Mullsjo,Hagunda,8.0,4.0,2022-2023,sweden,svenska-superligan
2023-01-04 18:30:00,Kalmarsund,Helsingborg,4.0,3.0,2022-2023,sweden,svenska-superligan
2023-01-04 18:30:00,Storvreta,Jonkoping,4.0,3.0,2022-2023,sweden,svenska-superligan
2022-12-30 19:00:00,Falun,Gavle,17.0,3.0,2022-2023,sweden,svenska-superligan
2022-12-29 19:00:00,Helsingborg,Dalen,14.0,2.0,2022-2023,sweden,svenska-superligan
2022-12-28 19:00:00,Pixbo Wallenstam,Storvreta,4.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-28 18:30:00,Thorengruppen,AIK IBF,2.0,6.0,2022-2023,sweden,svenska-superligan
2022-12-27 19:00:00,Falun,Mullsjo,9.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-26 16:30:00,Vaxjo,Kalmarsund,5.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-26 16:00:00,Gavle,Jonkoping,7.0,10.0,2022-2023,sweden,svenska-superligan
2022-12-26 14:00:00,Hagunda,Linkoping,2.0,11.0,2022-2023,sweden,svenska-superligan
2022-12-21 19:30:00,AIK IBF,Falun,4.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-18 15:00:00,Pixbo Wallenstam,Thorengruppen,7.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-17 18:00:00,Linkoping,AIK IBF,7.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-17 15:30:00,Mullsjo,Storvreta,2.0,6.0,2022-2023,sweden,svenska-superligan
2022-12-17 15:00:00,Helsingborg,Vaxjo,1.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-17 15:00:00,Kalmarsund,Jonkoping,6.0,7.0,2022-2023,sweden,svenska-superligan
2022-12-17 14:00:00,Hagunda,Falun,3.0,13.0,2022-2023,sweden,svenska-superligan
2022-12-17 13:00:00,Dalen,Gavle,5.0,6.0,2022-2023,sweden,svenska-superligan
2022-12-11 17:00:00,Jonkoping,Helsingborg,7.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-11 17:00:00,Storvreta,Linkoping,11.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-11 16:30:00,Vaxjo,Dalen,9.0,5.0,2022-2023,sweden,svenska-superligan
2022-12-11 15:00:00,Thorengruppen,Hagunda,5.0,2.0,2022-2023,sweden,svenska-superligan
2022-12-10 17:00:00,Gavle,Mullsjo,3.0,7.0,2022-2023,sweden,svenska-superligan
2022-12-10 16:00:00,Falun,Pixbo Wallenstam,12.0,5.0,2022-2023,sweden,svenska-superligan
2022-12-10 13:00:00,AIK IBF,Kalmarsund,4.0,8.0,2022-2023,sweden,svenska-superligan
2022-12-08 18:30:00,Falun,Jonkoping,9.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-07 19:00:00,Gavle,AIK IBF,6.0,7.0,2022-2023,sweden,svenska-superligan
2022-12-07 19:00:00,Hagunda,Vaxjo,1.0,10.0,2022-2023,sweden,svenska-superligan
2022-12-07 19:00:00,Mullsjo,Helsingborg,8.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-07 18:40:00,Pixbo Wallenstam,Linkoping,4.0,6.0,2022-2023,sweden,svenska-superligan
2022-12-07 18:30:00,Dalen,Thorengruppen,4.0,3.0,2022-2023,sweden,svenska-superligan
2022-12-06 18:30:00,Storvreta,Kalmarsund,5.0,2.0,2022-2023,sweden,svenska-superligan
2022-12-04 15:00:00,Helsingborg,Storvreta,1.0,6.0,2022-2023,sweden,svenska-superligan
2022-12-04 13:00:00,AIK IBF,Dalen,7.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-03 18:00:00,Jonkoping,Mullsjo,2.0,5.0,2022-2023,sweden,svenska-superligan
2022-12-03 17:00:00,Linkoping,Gavle,4.0,5.0,2022-2023,sweden,svenska-superligan
2022-12-03 17:00:00,Thorengruppen,Falun,3.0,7.0,2022-2023,sweden,svenska-superligan
2022-12-03 15:00:00,Kalmarsund,Hagunda,14.0,4.0,2022-2023,sweden,svenska-superligan
2022-12-03 15:00:00,Vaxjo,Pixbo Wallenstam,5.0,6.0,2022-2023,sweden,svenska-superligan
2022-11-27 17:00:00,Dalen,Kalmarsund,5.0,7.0,2022-2023,sweden,svenska-superligan
2022-11-27 17:00:00,Gavle,Storvreta,1.0,9.0,2022-2023,sweden,svenska-superligan
2022-11-27 16:00:00,Jonkoping,Vaxjo,3.0,10.0,2022-2023,sweden,svenska-superligan
2022-11-27 15:00:00,Helsingborg,Thorengruppen,8.0,4.0,2022-2023,sweden,svenska-superligan
2022-11-27 13:00:00,AIK IBF,Mullsjo,8.0,12.0,2022-2023,sweden,svenska-superligan
2022-11-26 16:00:00,Falun,Linkoping,9.0,4.0,2022-2023,sweden,svenska-superligan
2022-11-26 15:00:00,Pixbo Wallenstam,Hagunda,8.0,7.0,2022-2023,sweden,svenska-superligan
2022-11-20 16:30:00,Vaxjo,AIK IBF,9.0,3.0,2022-2023,sweden,svenska-superligan
2022-11-20 16:00:00,Hagunda,Helsingborg,1.0,5.0,2022-2023,sweden,svenska-superligan
2022-11-20 13:00:00,Thorengruppen,Jonkoping,8.0,9.0,2022-2023,sweden,svenska-superligan
2022-11-19 18:00:00,Linkoping,Kalmarsund,3.0,5.0,2022-2023,sweden,svenska-superligan
2022-11-19 18:00:00,Storvreta,Falun,7.0,6.0,2022-2023,sweden,svenska-superligan
2022-11-19 16:00:00,Pixbo Wallenstam,Gavle,10.0,4.0,2022-2023,sweden,svenska-superligan
2022-11-19 15:30:00,Mullsjo,Dalen,6.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-23 18:00:00,Falun,Vaxjo,12.0,7.0,2022-2023,sweden,svenska-superligan
2022-10-23 17:30:00,Helsingborg,Pixbo Wallenstam,5.0,6.0,2022-2023,sweden,svenska-superligan
2022-10-23 17:00:00,Dalen,Linkoping,6.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-23 17:00:00,Gavle,Thorengruppen,6.0,11.0,2022-2023,sweden,svenska-superligan
2022-10-23 16:00:00,Jonkoping,Hagunda,8.0,10.0,2022-2023,sweden,svenska-superligan
2022-10-23 13:00:00,AIK IBF,Storvreta,4.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-22 15:00:00,Kalmarsund,Mullsjo,6.0,1.0,2022-2023,sweden,svenska-superligan
2022-10-16 17:00:00,Gavle,Hagunda,6.0,9.0,2022-2023,sweden,svenska-superligan
2022-10-16 16:00:00,Dalen,Jonkoping,9.0,3.0,2022-2023,sweden,svenska-superligan
2022-10-15 18:00:00,Kalmarsund,Falun,5.0,8.0,2022-2023,sweden,svenska-superligan
2022-10-15 18:00:00,Linkoping,Helsingborg,4.0,7.0,2022-2023,sweden,svenska-superligan
2022-10-15 17:00:00,Storvreta,Thorengruppen,9.0,3.0,2022-2023,sweden,svenska-superligan
2022-10-15 15:30:00,Mullsjo,Vaxjo,4.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-15 13:00:00,AIK IBF,Pixbo Wallenstam,6.0,14.0,2022-2023,sweden,svenska-superligan
2022-10-09 17:00:00,Falun,Dalen,9.0,1.0,2022-2023,sweden,svenska-superligan
2022-10-09 16:30:00,Vaxjo,Linkoping,6.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-09 16:00:00,Jonkoping,AIK IBF,9.0,8.0,2022-2023,sweden,svenska-superligan
2022-10-09 15:00:00,Helsingborg,Gavle,9.0,3.0,2022-2023,sweden,svenska-superligan
2022-10-09 13:00:00,Thorengruppen,Mullsjo,5.0,4.0,2022-2023,sweden,svenska-superligan
2022-10-08 15:00:00,Pixbo Wallenstam,Kalmarsund,4.0,8.0,2022-2023,sweden,svenska-superligan
2022-10-07 19:00:00,Hagunda,Storvreta,3.0,7.0,2022-2023,sweden,svenska-superligan
2022-10-02 17:00:00,Dalen,Storvreta,1.0,7.0,2022-2023,sweden,svenska-superligan
2022-10-02 16:30:00,Vaxjo,Thorengruppen,13.0,6.0,2022-2023,sweden,svenska-superligan
2022-10-02 16:00:00,Jonkoping,Pixbo Wallenstam,3.0,5.0,2022-2023,sweden,svenska-superligan
2022-10-02 16:00:00,Kalmarsund,Gavle,7.0,6.0,2022-2023,sweden,svenska-superligan
2022-10-01 16:00:00,Falun,Helsingborg,6.0,8.0,2022-2023,sweden,svenska-superligan
2022-10-01 15:00:00,Hagunda,AIK IBF,7.0,6.0,2022-2023,sweden,svenska-superligan
2022-09-28 19:00:00,Mullsjo,Linkoping,8.0,5.0,2022-2023,sweden,svenska-superligan
2022-09-25 17:00:00,Gavle,Falun,4.0,7.0,2022-2023,sweden,svenska-superligan
2022-09-25 17:00:00,Linkoping,Jonkoping,6.0,5.0,2022-2023,sweden,svenska-superligan
2022-09-25 17:00:00,Pixbo Wallenstam,Mullsjo,8.0,3.0,2022-2023,sweden,svenska-superligan
2022-09-25 17:00:00,Storvreta,Vaxjo,2.0,7.0,2022-2023,sweden,svenska-superligan
2022-09-25 16:00:00,Thorengruppen,Kalmarsund,3.0,10.0,2022-2023,sweden,svenska-superligan
2022-09-24 18:00:00,Hagunda,Dalen,5.0,7.0,2022-2023,sweden,svenska-superligan
2022-09-24 13:00:00,AIK IBF,Helsingborg,10.0,14.0,2022-2023,sweden,svenska-superligan
2022-09-23 19:00:00,Pixbo Wallenstam,Dalen,11.0,1.0,2022-2023,sweden,svenska-superligan
2022-09-22 18:30:00,Jonkoping,Storvreta,3.0,12.0,2022-2023,sweden,svenska-superligan
2022-09-21 19:00:00,Hagunda,Mullsjo,1.0,6.0,2022-2023,sweden,svenska-superligan
2022-09-21 19:00:00,Helsingborg,Kalmarsund,3.0,4.0,2022-2023,sweden,svenska-superligan
2022-09-21 18:30:00,Falun,AIK IBF,12.0,4.0,2022-2023,sweden,svenska-superligan
2022-09-20 18:30:00,Thorengruppen,Linkoping,7.0,8.0,2022-2023,sweden,svenska-superligan
2022-09-20 18:30:00,Vaxjo,Gavle,10.0,7.0,2022-2023,sweden,svenska-superligan
2022-09-18 17:30:00,Jonkoping,Gavle,8.0,4.0,2022-2023,sweden,svenska-superligan
2022-09-18 17:00:00,Linkoping,Hagunda,9.0,5.0,2022-2023,sweden,svenska-superligan
2022-09-18 17:00:00,Storvreta,Pixbo Wallenstam,8.0,2.0,2022-2023,sweden,svenska-superligan
2022-09-17 18:00:00,Mullsjo,Falun,1.0,8.0,2022-2023,sweden,svenska-superligan
2022-09-17 13:00:00,Dalen,Helsingborg,3.0,8.0,2022-2023,sweden,svenska-superligan
2022-09-16 19:30:00,AIK IBF,Thorengruppen,3.0,6.0,2022-2023,sweden,svenska-superligan
2022-09-16 19:00:00,Kalmarsund,Vaxjo,2.0,3.0,2022-2023,sweden,svenska-superligan
2022-04-23 15:10:00,Falun,Kalmarsund,5.0,4.0,2021-2022,sweden,svenska-superligan
