DT,Home,Away,Home_points,Away_points,season,country,league
2022-07-09 15:10:00,Rybakina E.,Jabeur O.,2.0,1.0,2022,wta-singles,wimbledon
2022-07-07 16:50:00,Rybakina E.,Halep S.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-07 14:35:00,Jabeur O.,Maria T.,2.0,1.0,2022,wta-singles,wimbledon
2022-07-06 14:35:00,Halep S.,Anisimova A.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-06 14:05:00,Tomljanovic A.,Rybakina E.,1.0,2.0,2022,wta-singles,wimbledon
2022-07-05 18:40:00,Bouzkova M.,Jabeur O.,1.0,2.0,2022,wta-singles,wimbledon
2022-07-05 14:10:00,Maria T.,Niemeier J.,2.0,1.0,2022,wta-singles,wimbledon
2022-07-04 18:20:00,Anisimova A.,Tan H.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-04 18:15:00,Badosa P.,Halep S.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-04 17:00:00,Cornet A.,Tomljanovic A.,1.0,2.0,2022,wta-singles,wimbledon
2022-07-04 14:10:00,Rybakina E.,Martic P.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-03 19:30:00,Mertens E.,Jabeur O.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-03 15:25:00,Watson H.,Niemeier J.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-03 14:05:00,Maria T.,Ostapenko J.,2.0,1.0,2022,wta-singles,wimbledon
2022-07-03 12:10:00,Bouzkova M.,Garcia C.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-02 17:10:00,Badosa P.,Kvitova P.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-02 17:10:00,Martic P.,Pegula J.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-02 17:00:00,Swiatek I.,Cornet A.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-02 16:40:00,Zheng Q.,Rybakina E.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-02 16:15:00,Frech M.,Halep S.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-02 14:40:00,Gauff C.,Anisimova A.,1.0,2.0,2022,wta-singles,wimbledon
2022-07-02 12:05:00,Tan H.,Boulter K.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-02 12:05:00,Tomljanovic A.,Krejcikova B.,2.0,1.0,2022,wta-singles,wimbledon
2022-07-01 17:30:00,Zhang S.,Garcia C.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-01 16:25:00,Bouzkova M.,Riske-Amritraj A.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-01 16:15:00,Kerber A.,Mertens E.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-01 15:25:00,Sakkari M.,Maria T.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-01 14:35:00,Parry D.,Jabeur O.,0.0,2.0,2022,wta-singles,wimbledon
2022-07-01 14:05:00,Watson H.,Juvan K.,2.0,0.0,2022,wta-singles,wimbledon
2022-07-01 12:05:00,Begu I.,Ostapenko J.,1.0,2.0,2022,wta-singles,wimbledon
2022-07-01 12:05:00,Tsurenko L.,Niemeier J.,1.0,2.0,2022,wta-singles,wimbledon
2022-06-30 21:25:00,Gauff C.,Buzarnescu M.,2.0,0.0,2022,wta-singles,wimbledon
2022-06-30 18:05:00,Flipkens K.,Halep S.,0.0,2.0,2022,wta-singles,wimbledon
2022-06-30 17:05:00,Davis L.,Anisimova A.,1.0,2.0,2022,wta-singles,wimbledon
2022-06-30 16:45:00,Swiatek I.,Pattinama Kerkhove L.,2.0,1.0,2022,wta-singles,wimbledon
